#,City,State,Population,Metropolitan,Sexratio,Literacy
445,Firozpur,Punjab,"110,313","110,313",887,79.12
446,Baripada,Orissa,"109,743","116,874",936,88.52
447,Mughalsarai,Uttar Pradesh,"109,650","154,692",901,81.17
448,Anantnag,Jammu and Kashmir,"109,433","158,785",927,76.17
449,Sehore,Madhya Pradesh,"108,909","109,025",937,84.36
450,Bongaon,West Bengal,"108,864","108,864",966,89.7
451,Kanpur Cantonment,Uttar Pradesh,"108,534","108,534",854,78.72
452,Khardaha,West Bengal,"108,496","108,496",977,94.37
453,Tadpatri,Andhra Pradesh,"108,171","108,171",1003,71.39
454,Port Blair,Andaman and Nicobar Islands,"108,058","108,058",871,90.28
455,Sultanpur,Uttar Pradesh,"107,640","116,211",908,87.59
456,Bhadrak,Orissa,"107,463","129,152",951,79.49
457,Shikohabad,Uttar Pradesh,"107,404","107,404",891,80.03
458,Jalpaiguri,West Bengal,"107,341","169,013",999,90.64
459,Shamli,Uttar Pradesh,"107,266","107,266",876,80.32
460,Karaikkudi,Tamil Nadu,"106,714","181,347",1000,90.49
461,Khargone,Madhya Pradesh,"106,454","133,361",947,81.93
462,Wardha,Maharashtra,"106,444","106,444",982,93.77
463,Ranibennur,Karnataka,"106,406","106,406",969,85.97
464,Kishanganj,Bihar,"105,782","105,782",918,73.46
465,Neyveli,Tamil Nadu,"105,731","178,925",980,90.42
466,Amreli,Gujarat,"105,573","118,059",922,88.29
467,Suryapet,Andhra Pradesh,"105,531","106,524",1025,83.09
468,Gangawati,Karnataka,"105,529","114,459",1003,75.43
469,Hindaun,Rajasthan,"105,452","105,452",889,75.31
470,Jamalpur,Bihar,"105,434","105,434",880,86.46
471,Bhiwadi,Rajasthan,"104,921","104,921",757,79.84
472,Ballia,Uttar Pradesh,"104,424","111,287",883,83.33
473,Bansberia,West Bengal,"103,920","103,920",933,85.05
474,Tadepalligudem,Andhra Pradesh,"103,906","103,703",1022,82.69
475,Miryalaguda,Andhra Pradesh,"103,817","104,956",996,81.4
476,Baraut,Uttar Pradesh,"103,764","103,764",886,76.65
477,Udgir,Maharashtra,"103,550","103,550",917,84.25
478,Betul,Madhya Pradesh,"103,330","103,330",956,89.28
479,Bundi,Rajasthan,"103,286","104,457",926,82.04
480,Jehanabad,Bihar,"103,202","103,202",886,78.5
481,Ambala Sadar,Haryana,"103,093","103,093",921,88.46
482,Nagapattinam,Tamil Nadu,"102,905","102,905",1026,89.02
483,Nagaur,Rajasthan,"102,872","108,540",945,70.68
484,Buxar,Bihar,"102,861","110,608",895,83.82
485,Seoni,Madhya Pradesh,"102,343","102,343",955,90.46
486,Aurangabad,Bihar,"102,244","102,244",910,86.03
487,Greater Noida,Uttar Pradesh,"102,054","102,054",837,86.47
488,Hinganghat,Maharashtra,"101,805","101,805",936,93.25
489,Sujangarh,Rajasthan,"101,523","101,523",956,73.33
490,Bhadreswar,West Bengal,"101,477","101,477",903,86.51
491,Chilakaluripet,Andhra Pradesh,"101,398","101,398",1020,71.54
492,Kasganj,Uttar Pradesh,"101,277","101,277",891,77.36
493,Kalyani,West Bengal,"100,575","100,575",983,87.9
494,Gangtok,Sikkim,"100,286","100,286",912,89.33
495,Datia,Madhya Pradesh,"100,284","100,284",900,80.56
496,Nagda,Madhya Pradesh,"100,039","100,039",947,80.71
497,Banswara,Rajasthan,"99,969","101,177",960,85.72
498,Kapurthala,Punjab,"98,916","98,916",839,85.08
